127.0.0.1, 2017-03-09 13:25:48, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000503
127.0.0.1, 2017-03-09 13:25:48, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000571
127.0.0.1, 2017-03-09 13:25:48, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000690
127.0.0.1, 2017-03-09 13:25:48, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.009576
127.0.0.1, 2017-03-09 13:25:48, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000758
127.0.0.1, 2017-03-09 13:25:48, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.004072
127.0.0.1, 2017-03-09 13:25:48, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004411
127.0.0.1, 2017-03-09 13:25:48, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2017-03-09 13:25:48, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000546
127.0.0.1, 2017-03-09 13:25:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000269
127.0.0.1, 2017-03-09 13:25:53, POST, /admin/default/index, HTTP/1.1, 303, 0.038508
127.0.0.1, 2017-03-09 13:25:53, GET, /admin/default/site, HTTP/1.1, 200, 0.090695
127.0.0.1, 2017-03-09 13:25:53, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000644
127.0.0.1, 2017-03-09 13:25:54, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000773
127.0.0.1, 2017-03-09 13:25:54, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000493
127.0.0.1, 2017-03-09 13:25:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000480
127.0.0.1, 2017-03-09 13:25:55, POST, /admin/default/check_version, HTTP/1.1, 200, 2.103801
127.0.0.1, 2017-03-09 13:26:04, GET, /admin/default/design/RepoWorks, HTTP/1.1, 200, 0.393025
127.0.0.1, 2017-03-09 13:26:04, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000676
127.0.0.1, 2017-03-09 13:26:04, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000641
127.0.0.1, 2017-03-09 13:26:04, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000594
127.0.0.1, 2017-03-09 13:26:04, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.001431
127.0.0.1, 2017-03-09 13:26:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2017-03-09 13:26:15, GET, /RepoWorks/appadmin/index, HTTP/1.1, 200, 0.049994
127.0.0.1, 2017-03-09 13:26:15, GET, /RepoWorks/appadmin/hooks, HTTP/1.1, 200, 0.047291
127.0.0.1, 2017-03-09 13:26:18, GET, /RepoWorks/appadmin/select/db, HTTP/1.1, 200, 0.049198
127.0.0.1, 2017-03-09 13:26:29, GET, /RepoWorks/, HTTP/1.1, 200, 0.073368
127.0.0.1, 2017-03-09 13:32:19, GET, /RepoWorks/ver_trabalhos, HTTP/1.1, 404, 0.012298
127.0.0.1, 2017-03-09 13:32:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000275
127.0.0.1, 2017-03-09 13:32:40, GET, /RepoWorks/ver_trabalhos/, HTTP/1.1, 404, 0.015183
127.0.0.1, 2017-03-09 13:32:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000410
